Weight (g);Voltage (9k);(1k ohm);3k ohm ;;;;;;
0;0,377;0,052;0,132;;;;;;
;0,667;0,098;0,232;;;;;;
;0,822;0,114;0,287;;;;;;
;0,883;0,133;0,334;;;;;;
;0,922;0,143;0,361;;;;;;
;1,02;0,151;0,378;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Startvalue ;Constant weight ;;;;;;;;
0.138;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
1.5k ohm ;voltage;;voltage;;voltage;;voltage;;voltage
2500;0.255;5000;0.316;7500;0.346;10000;0.375;12500;0.384
2500;0.275;5000;0.328;7500;0.354;10000;0.376;12500;0.396
2500;0.273;5000;0.334;7500;0.356;10000;0.381;12500;0.398
2500;0.283;5000;0.333;7500;0.361;10000;0.384;12500;0.398
2500;0.290;5000;0.346;7500;0.365;10000;0.388;12500;0.400
2500;0.283;5000;0.345;7500;0.366;10000;0.388;12500;0.401
2500;0.287;5000;0.346;7500;0.368;10000;0.391;12500;0.403
2500;0.291;5000;0.343;7500;0.372;10000;0.392;12500;0.402
2500;0.291;5000;0.349;7500;0.368;10000;0.393;12500;0.403
2500;0.286;5000;0.350;7500;0.371;10000;0.394;12500;0.405
2500;0.284;5000;0.346;7500;0.370;10000;0.394;12500;0.400
;;;;;;;;;
Noted: constant presuure does lead to an increase of vltage acros the weight spectrum. Value returned to normal after ~20seconds ;;;;;;;;;
;  ;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
